                                                                                                                             Layer       Input Shape  Parameters
                                                                                                        block_3_project_BN/gamma:0              (32)          32
                                                                                                         block_3_project_BN/beta:0              (32)          32
                                                                                                           block_4_expand/kernel:0   (1, 1, 32, 192)        6144
                                                                                                         block_4_expand_BN/gamma:0             (192)         192
                                                                                                          block_4_expand_BN/beta:0             (192)         192
                                                                                              block_4_depthwise/depthwise_kernel:0    (3, 3, 192, 1)        1728
                                                                                                      block_4_depthwise_BN/gamma:0             (192)         192
                                                                                                       block_4_depthwise_BN/beta:0             (192)         192
                                                                                                          block_4_project/kernel:0   (1, 1, 192, 32)        6144
                                                                                                        block_4_project_BN/gamma:0              (32)          32
                                                                                                         block_4_project_BN/beta:0              (32)          32
                                                                                                           block_5_expand/kernel:0   (1, 1, 32, 192)        6144
                                                                                                         block_5_expand_BN/gamma:0             (192)         192
                                                                                                          block_5_expand_BN/beta:0             (192)         192
                                                                                              block_5_depthwise/depthwise_kernel:0    (3, 3, 192, 1)        1728
                                                                                                      block_5_depthwise_BN/gamma:0             (192)         192
                                                                                                       block_5_depthwise_BN/beta:0             (192)         192
                                                                                                          block_5_project/kernel:0   (1, 1, 192, 32)        6144
                                                                                                        block_5_project_BN/gamma:0              (32)          32
                                                                                                         block_5_project_BN/beta:0              (32)          32
                                                                                                           block_6_expand/kernel:0   (1, 1, 32, 192)        6144
                                                                                                         block_6_expand_BN/gamma:0             (192)         192
                                                                                                          block_6_expand_BN/beta:0             (192)         192
                                                                                              block_6_depthwise/depthwise_kernel:0    (3, 3, 192, 1)        1728
                                                                                                      block_6_depthwise_BN/gamma:0             (192)         192
                                                                                                       block_6_depthwise_BN/beta:0             (192)         192
                                                                                                          block_6_project/kernel:0   (1, 1, 192, 64)       12288
                                                                                                        block_6_project_BN/gamma:0              (64)          64
                                                                                                         block_6_project_BN/beta:0              (64)          64
                                                                                                           block_7_expand/kernel:0   (1, 1, 64, 384)       24576
                                                                                                         block_7_expand_BN/gamma:0             (384)         384
                                                                                                          block_7_expand_BN/beta:0             (384)         384
                                                                                              block_7_depthwise/depthwise_kernel:0    (3, 3, 384, 1)        3456
                                                                                                      block_7_depthwise_BN/gamma:0             (384)         384
                                                                                                       block_7_depthwise_BN/beta:0             (384)         384
                                                                                                          block_7_project/kernel:0   (1, 1, 384, 64)       24576
                                                                                                        block_7_project_BN/gamma:0              (64)          64
                                                                                                         block_7_project_BN/beta:0              (64)          64
                                                                                                           block_8_expand/kernel:0   (1, 1, 64, 384)       24576
                                                                                                         block_8_expand_BN/gamma:0             (384)         384
                                                                                                          block_8_expand_BN/beta:0             (384)         384
                                                                                              block_8_depthwise/depthwise_kernel:0    (3, 3, 384, 1)        3456
                                                                                                      block_8_depthwise_BN/gamma:0             (384)         384
                                                                                                       block_8_depthwise_BN/beta:0             (384)         384
                                                                                                          block_8_project/kernel:0   (1, 1, 384, 64)       24576
                                                                                                        block_8_project_BN/gamma:0              (64)          64
                                                                                                         block_8_project_BN/beta:0              (64)          64
                                                                                                           block_9_expand/kernel:0   (1, 1, 64, 384)       24576
                                                                                                         block_9_expand_BN/gamma:0             (384)         384
                                                                                                          block_9_expand_BN/beta:0             (384)         384
                                                                                              block_9_depthwise/depthwise_kernel:0    (3, 3, 384, 1)        3456
                                                                                                      block_9_depthwise_BN/gamma:0             (384)         384
                                                                                                       block_9_depthwise_BN/beta:0             (384)         384
                                                                                                          block_9_project/kernel:0   (1, 1, 384, 64)       24576
                                                                                                        block_9_project_BN/gamma:0              (64)          64
                                                                                                         block_9_project_BN/beta:0              (64)          64
                                                                                                          block_10_expand/kernel:0   (1, 1, 64, 384)       24576
                                                                                                        block_10_expand_BN/gamma:0             (384)         384
                                                                                                         block_10_expand_BN/beta:0             (384)         384
                                                                                             block_10_depthwise/depthwise_kernel:0    (3, 3, 384, 1)        3456
                                                                                                     block_10_depthwise_BN/gamma:0             (384)         384
                                                                                                      block_10_depthwise_BN/beta:0             (384)         384
                                                                                                         block_10_project/kernel:0   (1, 1, 384, 96)       36864
                                                                                                       block_10_project_BN/gamma:0              (96)          96
                                                                                                        block_10_project_BN/beta:0              (96)          96
                                                                                                          block_11_expand/kernel:0   (1, 1, 96, 576)       55296
                                                                                                        block_11_expand_BN/gamma:0             (576)         576
                                                                                                         block_11_expand_BN/beta:0             (576)         576
                                                                                             block_11_depthwise/depthwise_kernel:0    (3, 3, 576, 1)        5184
                                                                                                     block_11_depthwise_BN/gamma:0             (576)         576
                                                                                                      block_11_depthwise_BN/beta:0             (576)         576
                                                                                                         block_11_project/kernel:0   (1, 1, 576, 96)       55296
                                                                                                       block_11_project_BN/gamma:0              (96)          96
                                                                                                        block_11_project_BN/beta:0              (96)          96
                                                                                                          block_12_expand/kernel:0   (1, 1, 96, 576)       55296
                                                                                                        block_12_expand_BN/gamma:0             (576)         576
                                                                                                         block_12_expand_BN/beta:0             (576)         576
                                                                                             block_12_depthwise/depthwise_kernel:0    (3, 3, 576, 1)        5184
                                                                                                     block_12_depthwise_BN/gamma:0             (576)         576
                                                                                                      block_12_depthwise_BN/beta:0             (576)         576
                                                                                                         block_12_project/kernel:0   (1, 1, 576, 96)       55296
                                                                                                       block_12_project_BN/gamma:0              (96)          96
                                                                                                        block_12_project_BN/beta:0              (96)          96
                                                                                                          block_13_expand/kernel:0   (1, 1, 96, 576)       55296
                                                                                                        block_13_expand_BN/gamma:0             (576)         576
                                                                                                         block_13_expand_BN/beta:0             (576)         576
                                                                                             block_13_depthwise/depthwise_kernel:0    (3, 3, 576, 1)        5184
                                                                                                     block_13_depthwise_BN/gamma:0             (576)         576
                                                                                                      block_13_depthwise_BN/beta:0             (576)         576
                                                                                                         block_13_project/kernel:0  (1, 1, 576, 160)       92160
                                                                                                       block_13_project_BN/gamma:0             (160)         160
                                                                                                        block_13_project_BN/beta:0             (160)         160
                                                                                                          block_14_expand/kernel:0  (1, 1, 160, 960)      153600
                                                                                                        block_14_expand_BN/gamma:0             (960)         960
                                                                                                         block_14_expand_BN/beta:0             (960)         960
                                                                                             block_14_depthwise/depthwise_kernel:0    (3, 3, 960, 1)        8640
                                                                                                     block_14_depthwise_BN/gamma:0             (960)         960
                                                                                                      block_14_depthwise_BN/beta:0             (960)         960
                                                                                                         block_14_project/kernel:0  (1, 1, 960, 160)      153600
                                                                                                       block_14_project_BN/gamma:0             (160)         160
                                                                                                        block_14_project_BN/beta:0             (160)         160
                                                                                                          block_15_expand/kernel:0  (1, 1, 160, 960)      153600
                                                                                                        block_15_expand_BN/gamma:0             (960)         960
                                                                                                         block_15_expand_BN/beta:0             (960)         960
                                                                                             block_15_depthwise/depthwise_kernel:0    (3, 3, 960, 1)        8640
                                                                                                     block_15_depthwise_BN/gamma:0             (960)         960
                                                                                                      block_15_depthwise_BN/beta:0             (960)         960
                                                                                                         block_15_project/kernel:0  (1, 1, 960, 160)      153600
                                                                                                       block_15_project_BN/gamma:0             (160)         160
                                                                                                        block_15_project_BN/beta:0             (160)         160
                                                                                                          block_16_expand/kernel:0  (1, 1, 160, 960)      153600
                                                                                                        block_16_expand_BN/gamma:0             (960)         960
                                                                                                         block_16_expand_BN/beta:0             (960)         960
                                                                                             block_16_depthwise/depthwise_kernel:0    (3, 3, 960, 1)        8640
                                                                                                     block_16_depthwise_BN/gamma:0             (960)         960
                                                                                                      block_16_depthwise_BN/beta:0             (960)         960
                                                                                                         block_16_project/kernel:0  (1, 1, 960, 320)      307200
                                                                                                       block_16_project_BN/gamma:0             (320)         320
                                                                                                        block_16_project_BN/beta:0             (320)         320
                                                                                                                   Conv_1/kernel:0 (1, 1, 320, 1280)      409600
                                                                                                                 Conv_1_bn/gamma:0            (1280)        1280
                                                                                                                  Conv_1_bn/beta:0            (1280)        1280
                        ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/FeatureMaps/top_down/projection_3/kernel:0 (1, 1, 1280, 128)      163840
                          ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/FeatureMaps/top_down/projection_3/bias:0             (128)         128
                        ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/FeatureMaps/top_down/projection_2/kernel:0   (1, 1, 96, 128)       12288
